date,product,category,region,quantity,revenue,cost
2024-01-15,Widget A,Electronics,North,150,4500.00,2250.00
2024-01-15,Widget B,Electronics,South,89,2670.00,1335.00
2024-01-15,Gadget X,Home,East,200,6000.00,3600.00
2024-01-16,Widget A,Electronics,West,175,5250.00,2625.00
2024-01-16,Gadget Y,Home,North,95,2850.00,1710.00
2024-01-17,Widget B,Electronics,East,120,3600.00,1800.00
2024-01-17,Gadget X,Home,South,180,5400.00,3240.00
2024-01-18,Widget A,Electronics,North,160,4800.00,2400.00
2024-01-18,Gadget Y,Home,West,110,3300.00,1980.00
2024-01-19,Widget B,Electronics,South,95,2850.00,1425.00
2024-01-19,Gadget X,Home,North,220,6600.00,3960.00
2024-01-20,Widget A,Electronics,East,140,4200.00,2100.00
2024-01-20,Gadget Y,Home,South,85,2550.00,1530.00
2024-01-21,Widget B,Electronics,West,130,3900.00,1950.00
2024-01-21,Gadget X,Home,East,190,5700.00,3420.00
